ID,Long,Fecha_inicio,Fecha_final
9911882,51735.0,2009-05-13 00:16:51.405601,2013-05-11 12:01:11.145605
2860866,54967.0,2009-12-19 21:31:19.555550,2013-05-11 12:01:53.770925
10711551,63168.0,2009-06-20 06:21:54.008156,2013-05-11 12:02:47.771937
5094751,65263.0,2009-05-02 00:56:31.318171,2013-05-11 12:02:12.127268
3544640,54968.0,2009-12-19 21:31:18.221369,2013-05-11 12:02:05.426776
6310636,64797.0,2009-05-13 00:17:13.627433,2013-05-11 12:01:16.153439
5784803,64797.0,2009-05-13 00:18:07.452739,2013-05-11 12:02:14.419558
8042747,64793.0,2009-05-13 00:17:15.856509,2013-05-11 12:01:26.990641
4736208,64794.0,2009-05-13 00:18:20.988926,2013-05-11 12:02:25.348220
11559304,64792.0,2009-05-13 00:17:15.494341,2013-05-11 12:01:49.049295
5097278,65263.0,2009-05-02 00:56:26.292217,2013-05-11 12:02:06.739865
3120308,64795.0,2009-05-13 00:18:03.988214,2013-05-11 12:01:59.990673
7269974,64793.0,2009-05-13 00:18:09.419013,2013-05-11 12:02:24.167780
5003670,64794.0,2009-05-13 00:18:13.590847,2013-05-11 12:02:17.999009
6587105,50173.0,2009-05-13 00:18:27.648858,2013-04-08 11:01:36.240364
6351097,64792.0,2009-05-13 00:18:18.256925,2013-05-11 12:02:30.166998
6342333,50173.0,2009-05-13 00:18:40.602740,2013-04-08 11:01:48.823833
8043882,54965.0,2009-12-19 21:32:10.335193,2013-05-11 12:01:24.930850
8689031,64794.0,2009-05-13 00:17:38.916905,2013-05-11 12:01:56.757599
4932442,51813.0,2009-05-13 00:17:45.473206,2013-05-11 12:01:45.625745
3232859,64794.0,2009-05-13 00:18:12.273222,2013-05-11 12:02:09.779704
11135694,64792.0,2009-05-13 00:17:24.763814,2013-05-11 12:01:56.264268
10794974,65261.0,2009-05-02 00:56:00.394575,2013-05-11 12:01:56.851294
8429014,64794.0,2009-05-13 00:17:43.902988,2013-05-11 12:02:00.728903
3851130,64796.0,2009-05-13 00:18:04.532226,2013-05-11 12:02:03.206875
7542813,64794.0,2009-05-13 00:17:21.627912,2013-05-11 12:01:30.748308
9353314,64793.0,2009-05-13 00:17:12.374140,2013-05-11 12:01:30.416714
9838608,64793.0,2009-05-13 00:17:14.470749,2013-05-11 12:01:35.998419
3351888,51817.0,2009-05-13 00:17:54.254641,2013-05-11 12:01:49.442806
4841374,51813.0,2009-05-13 00:17:50.439062,2013-05-11 12:01:50.792933
7018210,64792.0,2009-05-13 00:18:18.545638,2013-05-11 12:02:33.844221
5650930,65267.0,2009-05-02 00:55:31.867095,2013-05-11 12:01:11.270001
9899607,64793.0,2009-05-13 00:17:11.688211,2013-05-11 12:01:33.403018
4850961,51817.0,2009-05-13 00:17:36.277139,2013-05-11 12:01:34.825908
4138008,64793.0,2009-05-13 00:18:41.129996,2013-05-11 12:02:47.198987
10273903,64814.0,2009-05-13 00:17:26.448606,2013-05-11 12:01:52.632553
6955671,54965.0,2009-12-19 21:31:53.044777,2013-05-11 12:01:46.541785
7047922,64794.0,2009-05-13 00:17:24.972875,2013-05-11 12:01:32.125624
9157030,64797.0,2009-05-13 00:17:30.565613,2013-05-11 12:01:49.776345
2720309,64795.0,2009-05-13 00:18:00.696479,2013-05-11 12:01:55.205554
3534076,64799.0,2009-05-13 00:18:27.067006,2013-05-11 12:02:28.105533
9535080,65262.0,2009-05-02 00:55:43.127821,2013-05-11 12:01:34.102853
4579598,51817.0,2009-05-13 00:17:35.482625,2013-05-11 12:01:32.863394
11298815,64792.0,2009-05-13 00:17:13.720562,2013-05-11 12:01:44.846748
10597693,64814.0,2009-05-13 00:17:28.636665,2013-05-11 12:01:57.188229
11612280,64792.0,2009-05-13 00:17:11.562879,2013-05-11 12:01:44.933308
11361646,64795.0,2009-05-13 00:16:52.794590,2013-05-11 12:01:21.894853
6066416,65266.0,2009-05-02 00:55:38.001806,2013-05-11 12:01:18.590637
11252617,63171.0,2009-06-20 06:21:16.715299,2013-05-11 12:01:28.826348
8123170,64797.0,2009-05-13 00:16:59.311457,2013-05-11 12:01:09.205943
2973509,65263.0,2009-05-02 00:56:59.551361,2013-05-11 12:02:37.883804
8121328,64797.0,2009-05-13 00:17:02.088378,2013-05-11 12:01:12.107972
2707985,65263.0,2009-05-02 00:56:38.259322,2013-05-11 12:02:14.618712
6359175,64797.0,2009-05-13 00:18:02.515691,2013-05-11 12:02:11.508434
4179201,51817.0,2009-05-13 00:17:35.472929,2013-05-11 12:01:31.694206
6206751,65267.0,2009-05-02 00:56:15.217981,2013-05-11 12:01:57.671914
10464666,65262.0,2009-05-02 00:56:09.412209,2013-05-11 12:02:05.227758
9491832,64797.0,2009-05-13 00:16:43.977433,2013-05-11 12:01:00.504321
10118266,64792.0,2009-05-13 00:18:23.799402,2013-05-11 12:02:59.980948
9457948,64792.0,2009-05-13 00:17:48.446224,2013-05-11 12:02:12.588623
2284957,64794.0,2009-05-13 00:18:42.075857,2013-05-11 12:02:41.677412
7678434,64794.0,2009-05-13 00:17:53.245433,2013-05-11 12:02:07.160132
5643492,64797.0,2009-05-13 00:17:21.094964,2013-05-11 12:01:21.429168
9536048,64793.0,2009-05-13 00:17:12.405241,2013-05-11 12:01:31.925046
1871483,63171.0,2009-06-20 06:22:54.641563,2013-05-11 12:02:02.208879
8381693,64793.0,2009-05-13 00:17:09.391598,2013-05-11 12:01:21.869478
10257903,60685.0,2009-05-13 00:18:06.094629,2013-05-11 12:02:39.243221
7541746,65263.0,2009-05-02 00:55:47.712719,2013-05-11 12:01:32.409008
8613338,65261.0,2009-05-02 00:56:37.435045,2013-05-11 12:02:28.598489
10663738,64814.0,2009-05-13 00:17:27.373093,2013-05-11 12:01:55.945931
5529643,64794.0,2009-05-13 00:18:05.488628,2013-05-11 12:02:10.731044
4075067,52286.0,2009-05-02 00:55:58.115977,2013-05-11 12:01:34.927674
8073705,65262.0,2009-05-02 00:57:17.774778,2013-05-11 12:03:10.949663
7662209,64792.0,2009-05-13 00:18:34.471221,2013-05-11 12:02:56.274863
7512982,64792.0,2009-05-13 00:18:13.428104,2013-05-11 12:02:30.249154
12735830,64795.0,2009-05-13 00:17:16.894615,2013-05-11 12:02:00.105076
8307354,54966.0,2009-12-19 21:32:06.163032,2013-05-11 12:01:38.195661
9649222,64797.0,2009-05-13 00:17:31.937341,2013-05-11 12:01:54.691459
11401253,65261.0,2009-05-02 00:55:56.508361,2013-05-11 12:01:55.132399
3542117,54966.0,2009-12-19 21:31:16.410788,2013-05-11 12:02:10.273971
6471021,65266.0,2009-05-02 00:55:30.314272,2013-05-11 12:01:11.799376
8355178,64792.0,2009-05-13 00:18:03.656371,2013-05-11 12:02:23.291170
7109675,64793.0,2009-05-13 00:18:02.449487,2013-05-11 12:02:14.908554
4563268,64796.0,2009-05-13 00:17:58.802374,2013-05-11 12:01:59.214370
6864706,64794.0,2009-05-13 00:17:48.525433,2013-05-11 12:01:57.382007
7289139,54965.0,2009-12-19 21:31:55.740458,2013-05-11 12:01:46.026089
11303811,54967.0,2009-12-19 21:32:42.265439,2013-05-11 12:01:32.377166
10665749,63190.0,2009-06-20 06:21:33.040477,2013-05-11 12:01:51.328524
8107034,64794.0,2009-05-13 00:17:23.180207,2013-05-11 12:01:35.507025
7743464,64792.0,2009-05-13 00:18:04.406437,2013-05-11 12:02:20.732019
3749508,65265.0,2009-05-02 00:56:23.177297,2013-05-11 12:02:00.535508
7821010,65263.0,2009-05-02 00:56:13.932724,2013-05-11 12:02:00.905099
4548162,54964.0,2009-12-19 21:31:14.917062,2013-05-11 12:02:32.423187
4144231,54971.0,2009-12-19 21:31:12.662196,2013-05-11 12:02:30.522584
2307415,65264.0,2009-05-02 00:56:24.761507,2013-05-11 12:01:59.807875
11825996,65264.0,2009-05-02 00:55:19.912196,2013-05-11 12:01:18.638223
11338918,51503.0,2009-05-13 00:17:51.114254,2013-05-11 12:02:28.978340
9723746,51732.0,2009-05-13 00:17:04.443772,2013-05-11 12:01:24.239715
11560037,64792.0,2009-05-13 00:17:13.854659,2013-05-11 12:01:46.929088
7369523,64793.0,2009-05-13 00:17:36.850481,2013-05-11 12:01:46.658813
9886661,64791.0,2009-05-13 00:17:38.093524,2013-05-11 12:02:03.390102
6065010,65266.0,2009-05-02 00:55:40.302138,2013-05-11 12:01:21.025013
6695801,64793.0,2009-05-13 00:17:44.700811,2013-05-11 12:01:52.453149
4918309,64794.0,2009-05-13 00:18:10.876750,2013-05-11 12:02:14.290151
4043190,65268.0,2009-05-02 00:56:54.216980,2013-05-11 12:02:34.239225
6603765,64794.0,2009-05-13 00:17:56.817512,2013-05-11 12:02:05.702695
8365739,64794.0,2009-05-13 00:17:40.442727,2013-05-11 12:01:56.349377
6147851,64797.0,2009-05-13 00:17:16.474339,2013-05-11 12:01:18.527543
5603270,50642.0,2009-05-02 00:56:54.491179,2013-04-08 11:01:26.994810
11407847,64795.0,2009-05-13 00:17:05.783053,2013-05-11 12:01:36.621502
9142334,64792.0,2009-05-13 00:18:08.245704,2013-05-11 12:02:33.477597
4048898,65263.0,2009-05-02 00:56:42.621348,2013-05-11 12:02:21.654323
10468885,64814.0,2009-05-13 00:17:27.756083,2013-05-11 12:01:55.358481
7046804,64794.0,2009-05-13 00:17:26.483146,2013-05-11 12:01:33.802977
9935642,64793.0,2009-05-13 00:18:12.098087,2013-05-11 12:02:44.122354
10583066,64793.0,2009-05-13 00:18:05.277122,2013-05-11 12:02:40.422656
6516874,54969.0,2009-12-19 21:31:36.856442,2013-05-11 12:02:11.680624
12645262,65264.0,2009-05-02 00:55:58.185128,2013-05-11 12:02:02.607741
7601665,64794.0,2009-05-13 00:17:56.664878,2013-05-11 12:02:10.601846
